=== LUKE — Speaker Metadata Coder ===,,,,,,,,,,,,,,,,
"Primary role: SPEAKER METADATA for all 50 videos (speaker_name, speaker_type, speaker_gender)",,,,,,,,,,,,,,,,
"No secondary role — metadata does not require IRR (factual lookup, not interpretive judgment)",,,,,,,,,,,,,,,,
Your assigned videos for SEGMENTATION: V26 V27 V28 V29 V30 V31 V32 V36,,,,,,,,,,,,,,,,
[SEG] = segment boundaries already identified (but NOT split into TCUs yet — still your job to split),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
STEP-BY-STEP FOR YOUR ASSIGNED VIDEOS:,,,,,,,,,,,,,,,,
1. Open transcript at the ai_mention_timestamp,,,,,,,,,,,,,,,,
"2. Scroll backward to find segment_start, forward to find segment_end",,,,,,,,,,,,,,,,
3. Read transcript between boundaries → identify TCU breaks,,,,,,,,,,,,,,,,
"4. For each TCU: fill tcu_id, tcu_transcript, tcu_start, tcu_end",,,,,,,,,,,,,,,,
"5. IMMEDIATELY fill speaker_name, speaker_type, speaker_gender from meeting records/transcript",,,,,,,,,,,,,,,,
6. DELETE the original keyword-hit rows for that video once all TCUs are added,,,,,,,,,,,,,,,,
7. Post your updated file to the shared folder by end of day,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FOR OTHER VIDEOS (not your assigned ones):,,,,,,,,,,,,,,,,
"As other students post their TCU rows, fill in speaker_name, speaker_type,",,,,,,,,,,,,,,,,
speaker_gender for each new TCU row using meeting records and transcript context.,,,,,,,,,,,,,,,,
"When you finish your part, you can help James for TCU identification. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
METADATA DEFINITIONS:,,,,,,,,,,,,,,,,
speaker_role,,,,,,,,,,,,,,,,
"speaker_gender: female / male / unknown (perceived binary, from name/appearance/pronouns only)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
original_row_number,video_url,meeting_date,ai_mention_timestamp,segment_start,segment_end,segment_transcript,tcu_id,tcu_transcript,tcu_start,tcu_end,speaker_role,speaker_gender,stance,vocal_tone,facial_expression,coder_notes
